Cluster 01,Cluster 02,Cluster 03,Cluster 04,Cluster 05,Cluster 06,Cluster 07,Cluster 08,Cluster 09,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20
,'02178','01682',,'03171','02139',,'02300','02273','04003','03671',,,,'02881',,,,,
,'02181','01716',,'03181','02156',,'02309','02278','04012','03683',,,,'02920',,,,,
,'02192','01718',,'03214','02164',,'02333','02292','04059','03689',,,,'02921',,,,,
,'02195','01725',,'03275','02167',,'02335','02294','04075','03713',,,,'02922',,,,,
,'02198','01729',,'03287','02168',,'02343','02317','04084','03734',,,,'02954',,,,,
,'02199','01734',,'03290','02180',,'02358','02323','04124','03746',,,,'02974',,,,,
,'02200','01749',,'03308','02182',,'02396','02328','04134','03752',,,,'03013',,,,,
,'02201','01751',,'03310','02191',,'02412','02351','04142','03766',,,,'03042',,,,,
,'02210','01754',,'03322','02204',,'02422','02376','04162','03775',,,,'03044',,,,,
,'02215','01760',,'03341','02240',,'02428','02388','04174','03802',,,,'03069',,,,,
,'02245','01765',,'03352','02252',,'02429','02395','04199','03804',,,,'03076',,,,,
,'02257','01766',,'03357','02254',,'02436','02405','04232','03829',,,,'03079',,,,,
,'02282','01781',,'03390','02281',,'02444','02416','04243','03842',,,,'03089',,,,,
,'02301','01787',,'03400','02285',,'02471','02419','04257','03852',,,,'03112',,,,,
,'02304','01793',,'03406','02289',,'02481','02427','04280','03866',,,,'03127',,,,,
,'02310','01794',,'03423','02296',,'02507','02446','04341','03892',,,,'03140',,,,,
,'02314','01808',,'03432','02298',,'02510','02452','04361','03903',,,,'03149',,,,,
,'02329','01848',,'03453','02306',,'02527','02453','04370','03938',,,,'03188',,,,,
,'02341','01856',,'03470','02339',,'02531','02455','04384','03944',,,,'03234',,,,,
,'02342','01864',,'03487','02354',,'02532','02467','04416','03946',,,,'03264',,,,,
,'02383','01866',,'03539','02366',,'02537','02485','04445','03955',,,,'03288',,,,,
,'02390','01869',,'03555','02382',,'02558','02495','04483','03972',,,,'03297',,,,,
,'02393','01882',,'03562','02402',,'02559','02541','04487','04006',,,,'03318',,,,,
,'02409','01887',,'03612','02432',,'02560','02598','04506','04014',,,,'03332',,,,,
,'02413','01898',,'03620','02435',,'02566','02602','04512','04017',,,,'03350',,,,,
,'02417','01901',,'03622','02437',,'02597','02623','04521','04034',,,,'03351',,,,,
,'02430','01921',,'03628','02457',,'02600','02625','04532','04064',,,,'03362',,,,,
,'02443','01935',,'03631','02468',,'02632','02644','04560','04065',,,,'03375',,,,,
,'02450','01939',,'03678','02478',,'02645','02673','04607','04116',,,,'03456',,,,,
,'02451','01947',,'03679','02519',,'02647','02683','04614','04128',,,,'03462',,,,,
,'02454','01951',,'03700','02522',,'02648','02692','04647','04145',,,,'03463',,,,,
,'02460','01958',,'03705','02524',,'02653','02693','04648','04147',,,,'03468',,,,,
,'02463','01959',,'03709','02528',,'02664','02701','04661','04169',,,,'03473',,,,,
,'02464','01981',,'03711','02546',,'02668','02709','04664','04196',,,,'03481',,,,,
,'02470','01990',,'03742','02551',,'02690','02720','04693','04202',,,,'03496',,,,,
,'02473','01991',,'03745','02553',,'02713','02746','04696','04220',,,,'03501',,,,,
,'02479','02003',,'03750','02561',,'02725','02756','04718','04247',,,,'03508',,,,,
,'02483','02016',,'03763','02568',,'02729','02758','04725','04271',,,,'03528',,,,,
,'02486','02026',,'03768','02577',,'02734','02771','04730','04281',,,,'03553',,,,,
,'02489','02045',,'03781','02578',,'02764','02774','04738','04308',,,,'03581',,,,,
,'02493','02062',,'03792','02585',,'02786','02782','04758','04313',,,,'03589',,,,,
,'02525','02070',,'03833','02593',,'02808','02787','04775','04331',,,,'03592',,,,,
,'02539','02078',,'03839','02596',,'02862','02797','04789','04358',,,,'03596',,,,,
